id,name,startTime,endTime,category
175,FIBA Basketball World Cup 2014/Fixtures 04 September/Senegal v Philippines,2014-09-04 12:00:00,2014-09-04 14:34:14,basket
176,FIBA Basketball World Cup 2014/Fixtures 04 September/Serbia v Spain,2014-09-04 20:00:00,2014-09-04 21:55:28,basket
177,FIBA Basketball World Cup 2014/Fixtures 04 September/South Korea v Mexico,2014-09-04 15:30:00,2014-09-04 17:05:16,basket
178,FIBA Basketball World Cup 2014/Fixtures 04 September/Turkey v Dominican Republic,2014-09-04 19:30:00,2014-09-04 21:02:53,basket
179,FIBA Basketball World Cup 2014/Fixtures 04 September/Ukraine v USA,2014-09-04 15:30:00,2014-09-04 17:19:55,basket
180,FIBA Basketball World Cup 2014/Fixtures 06 September/Dominican Republic v Slovenia,2014-09-06 18:00:00,2014-09-06 19:52:50,basket
181,FIBA Basketball World Cup 2014/Fixtures 06 September/France v Croatia,2014-09-06 16:00:00,2014-09-06 17:57:18,basket
182,FIBA Basketball World Cup 2014/Fixtures 06 September/Spain v Senegal,2014-09-06 20:00:00,2014-09-06 21:43:50,basket
183,FIBA Basketball World Cup 2014/Fixtures 06 September/USA v Mexico,2014-09-06 14:00:00,2014-09-06 15:32:30,basket
184,FIBA Basketball World Cup 2014/Fixtures 07 September/Brazil v Argentina,2014-09-07 20:00:00,2014-09-07 21:41:47,basket
185,FIBA Basketball World Cup 2014/Fixtures 07 September/New Zealand v Lithuania,2014-09-07 14:00:00,2014-09-07 16:05:34,basket
186,FIBA Basketball World Cup 2014/Fixtures 07 September/Serbia v Greece,2014-09-07 16:00:00,2014-09-07 17:45:29,basket
187,FIBA Basketball World Cup 2014/Fixtures 07 September/Turkey v Australia,2014-09-07 18:00:00,2014-09-07 20:29:36,basket
188,Finnish Soccer/Finnish Kolmonen/Fixtures 02 September/FC Vantaa v HyPS Hyvinkaa,2014-09-02 15:45:00,2014-09-02 17:15:12,soccer
189,Finnish Soccer/Finnish Kolmonen/Fixtures 04 September/TPK v TuWe,2014-09-04 16:15:00,2014-09-04 18:05:24,soccer
190,Finnish Soccer/Kakkonen West/Fixtures 06 September/AIFK v VIFK,2014-09-06 10:00:00,2014-09-06 11:45:22,soccer
191,Finnish Soccer/Ykkonen/Fixtures 01 September/FC Jazz v Ilves,2014-09-01 15:30:00,2014-09-01 17:20:10,soccer
